AgentID,x,y,algorithm,goal_package_point_type
comcha_0,25,25,dijkstra,pp-intermediate
comcha_1,25,25,dijkstra,pp-intermediate
comcha_2,25,25,dijkstra,pp-intermediate
comcha_3,25,25,dijkstra,pp-intermediate
comcha_4,25,25,dijkstra,pp-intermediate
comcha_5,25,25,dijkstra,pp-intermediate
comcha_6,25,25,dijkstra,pp-intermediate
comcha_7,25,25,dijkstra,pp-intermediate
roaming_0,25,13,dijkstra,
roaming_1,25,37,dijkstra,
roaming_2,13,25,dijkstra,
roaming_3,37,25,dijkstra,
roaming_4,13,13,dijkstra,
roaming_5,13,37,dijkstra,
roaming_6,37,13,dijkstra,
roaming_7,37,37,dijkstra,
roaming_8,25,13,dijkstra,
roaming_9,25,37,dijkstra,
roaming_10,13,25,dijkstra,
roaming_11,37,25,dijkstra,
roaming_12,13,13,dijkstra,
roaming_13,13,37,dijkstra,
roaming_14,37,13,dijkstra,
roaming_15,37,37,dijkstra,
